Group	Subgroup	Profile category	Index	Item label	Colour	Letters to highlight
Vowels Long/Short	1 Short Vowels	1	0	LETTER_EQUALS_PHONEME (i-ɪ)	1	ALL
Vowels Long/Short	1 Short Vowels	1	1	LETTER_EQUALS_PHONEME (a-æ)	1	ALL
Vowels Long/Short	1 Short Vowels	1	2	LETTER_EQUALS_PHONEME (o-ɒ)	1	ALL
Vowels Long/Short	1 Short Vowels	1	4	LETTER_EQUALS_PHONEME (e-e)	1	ALL
Vowels Long/Short	1 Short Vowels	1	5	LETTER_EQUALS_PHONEME (u-ʌ)	1	ALL
Vowels Long/Short	1 Short Vowels	1	9	LETTER_EQUALS_PHONEME (y-i)	1	ALL
Vowels Long/Short	1 Short Vowels	1	43	LETTER_EQUALS_PHONEME (y-ɪ)	1	ALL
Vowels Long/Short	2 Long Vowels	1	3	LETTER_EQUALS_PHONEME (i-aɪ)	1	ALL
Vowels Long/Short	2 Long Vowels	1	6	LETTER_EQUALS_PHONEME (ar-ɑː)	1	ALL
Vowels Long/Short	2 Long Vowels	1	7	LETTER_EQUALS_PHONEME (ee-iː)	1	ALL
Vowels Long/Short	2 Long Vowels	1	8	LETTER_EQUALS_PHONEME (or-ɔː)	1	ALL
Vowels Long/Short	2 Long Vowels	1	10	LETTER_EQUALS_PHONEME (y-aɪ)	1	ALL
Vowels Long/Short	2 Long Vowels	1	11	LETTER_EQUALS_PHONEME (ie-aɪ)	1	ALL
Vowels Long/Short	2 Long Vowels	1	12	PATTERN_EQUALS_PRONUNCIATION_CONTAINS_MIXED (iCe-aɪC)	1	i
Vowels Long/Short	2 Long Vowels	1	13	PATTERN_EQUALS_PRONUNCIATION_CONTAINS_MIXED (aCe-eɪC)	1	a
Vowels Long/Short	2 Long Vowels	1	18	PATTERN_EQUALS_PRONUNCIATION_CONTAINS_MIXED (oCe-əʊC)	1	o
Vowels Long/Short	2 Long Vowels	1	19	PATTERN_EQUALS_PRONUNCIATION_CONTAINS_MIXED (uCe-juːC)	1	u
Vowels Long/Short	2 Long Vowels	1	23	TRIGRAPH_EQUALS_PHONEME (igh-aɪ)	1	ALL
Vowels Long/Short	2 Long Vowels	1	27	DIGRAPH_EQUALS_PHONEME (ow-əʊ)	1	ALL
Vowels Long/Short	2 Long Vowels	1	28	DIGRAPH_EQUALS_PHONEME (ow-aʊ)	1	ALL
Vowels Long/Short	2 Long Vowels	1	30	LETTER_EQUALS_PHONEME (o-əʊ)	1	ALL
