Problem [0][0] (t=t (to) <> Pronounce t as t. For example: it, at, but (94 words)
Problem [0][1] (tt=t (little) <> Pronounce tt as t. For example: better, matter, letter (41 words)
Problem [0][2] (p=p (up) <> Pronounce p as p. For example: put, keep, group (94 words)
Problem [0][3] (pp=p (happen) <> Pronounce pp as p. For example: appear, happy, apply (33 words)
Problem [0][4] (n=n (in) <> Pronounce n as n. For example: on, no, and (94 words)
Problem [0][5] (nn=n (funny) <> Pronounce nn as n. For example: runner, dinner, tunnel (23 words)
Problem [0][6] (s=s (so) <> Pronounce s as s. For example: say, see, its (94 words)
Problem [0][7] (ss=s (pass) <> Pronounce ss as s. For example: less, loss, miss (97 words)
Problem [0][8] (c=s (city) <> Pronounce c as s. For example: cell, cite, policy (96 words)
Problem [0][9] (d=d (do) <> Pronounce d as d. For example: and, day, old (100 words)
Problem [0][10] (dd=d (add) <> Pronounce dd as d. For example: odd, middle, address (13 words)
Problem [0][11] (h=h (he) <> Pronounce h as h. For example: his, her, him (95 words)
Problem [0][12] (r=r (run) <> Pronounce r as r. For example: red, try, row (98 words)
Problem [0][13] (rr=r (carry) <> Pronounce rr as r. For example: worry, sorry, marry (49 words)
Problem [0][14] (m=m (my) <> Pronounce m as m. For example: me, him, man (99 words)
Problem [0][15] (mm=m (summer) <> Pronounce mm as m. For example: common, community, commercial (29 words)
Problem [0][16] (b=b (be) <> Pronounce b as b. For example: by, but, big (100 words)
Problem [0][17] (bb=b (lobby) <> Pronounce bb as b. For example: bubble, rabbit, rubber (5 words)
Problem [0][18] (l=l (let) <> Pronounce l as l. For example: old, like, look (100 words)
Problem [0][19] (ll=l (all) <> Pronounce ll as l. For example: will, well, tell (100 words)
Problem [0][20] (f=f (if) <> Pronounce f as f. For example: for, from, find (100 words)
Problem [0][21] (ff=f (off) <> Pronounce ff as f. For example: offer, office, stiff (36 words)
Problem [0][22] (ph=f (phone) <> Pronounce ph as f. For example: photo, phase, physical (24 words)
Problem [0][23] (g=g (go) <> Pronounce g as g. For example: get, big, give (98 words)
Problem [0][24] (gg=g (egg) <> Pronounce gg as g. For example: struggle, aggressive, trigger (5 words)
Problem [0][25] (k=k (ask) <> Pronounce k as k. For example: make, take, like (99 words)
Problem [0][26] (c=k (can) <> Pronounce c as k. For example: come, call, could (100 words)
Problem [0][27] (ck=k (back) <> Pronounce ck as k. For example: pick, rock, lack (53 words)
Problem [0][28] (ng=ŋ (thing) <> Pronounce ng as ŋ. For example: long, hang, song (100 words)
Problem [0][29] (nk=ŋk (think) <> Pronounce nk as ŋk. For example: bank, link, tank (26 words)
Problem [0][30] (th=θ (think) <> Pronounce th as θ. For example: thing, three, through (90 words)
Problem [0][31] (v=v (have) <> Pronounce v as v. For example: very, give, even (100 words)
Problem [0][32] (w=w (we) <> Pronounce w as w. For example: way, with, will (100 words)
Problem [0][33] (sh=ʃ (she) <> Pronounce sh as ʃ. For example: should, show, push (95 words)
Problem [0][34] (s=ʃ (sure) <> Pronounce s as ʃ. For example: sugar, ensure, insurance (5 words)
Problem [0][35] (ss=ʃ (issue) <> Pronounce ss as ʃ. For example: pressure, assure, tissue (4 words)
Problem [0][36] (y=j (you) <> Pronounce y as j. For example: year, your, yes (17 words)
Problem [0][37] (j=dʒ (just) <> Pronounce j as dʒ. For example: job, join, jump (41 words)
Problem [0][38] (g=dʒ (gene) <> Pronounce g as dʒ. For example: agent, giant, energy (81 words)
Problem [0][39] (dg=dʒ (budget) <> Pronounce dg as dʒ. (1 words)
Problem [0][40] (qu=k () <> Pronounce qu as k. (0 words)
Problem [0][41] (z=z (zone) <> Pronounce z as z. For example: dozen, crazy, magazine (11 words)
Problem [0][42] (zz=z (jazz) <> Pronounce zz as z. For example: puzzle (2 words)
Problem [0][43] (s=z (as) <> Pronounce s as z. For example: us, his, these (100 words)
Problem [0][44] (ch=tʃ (much) <> Pronounce ch as tʃ. For example: which, child, such (78 words)
Problem [0][45] (tch=tʃ (watch) <> Pronounce tch as tʃ. For example: catch, match, kitchen (10 words)
Problem [0][46] (th=ð (the) <> Pronounce th as ð. For example: that, with, this (52 words)
Problem [0][47] (x=gz (exist) <> Pronounce x as gz. For example: exactly, example, executive (13 words)
Problem [0][48] (x=ks (six) <> Pronounce x as ks. For example: tax, box, sex (74 words)
Problem [1][0] (i=ɪ (in) <> Pronounce i as ɪ. For example: it, if, his (100 words)
Problem [1][1] (a=æ (at) <> Pronounce a as æ. For example: as, and, can (100 words)
Problem [1][2] (o=ɒ (of) <> Pronounce o as ɒ. For example: on, not, from (99 words)
Problem [1][3] (i=aɪ (find) <> Pronounce i as aɪ. For example: child, ice, via (96 words)
Problem [1][4] (e=e (get) <> Pronounce e as e. For example: let, when, then (100 words)
Problem [1][5] (u=ʌ (up) <> Pronounce u as ʌ. For example: but, much, run (99 words)
Problem [1][6] (ar=ɑː (far) <> Pronounce ar as ɑː. For example: car, art, arm (97 words)
Problem [1][7] (ee=iː (see) <> Pronounce ee as iː. For example: need, feel, keep (77 words)
Problem [1][8] (or=ɔː (or) <> Pronounce or as ɔː. For example: for, nor, form (98 words)
Problem [1][9] (y=i (any) <> Pronounce y as i. For example: very, many, only (100 words)
Problem [1][10] (y=aɪ (by) <> Pronounce y as aɪ. For example: my, try, why (43 words)
Problem [1][11] (ie=aɪ (die) <> Pronounce ie as aɪ. For example: lie, tie, pie (4 words)
Problem [1][12] (Pronounce 'iCe' as 'aɪC'.For example: times, while, smile's (100 words)
Problem [1][13] (Pronounce 'aCe' as 'eɪC'.For example: estimates, rates, lakes (100 words)
Problem [1][14] (ay=eɪ (say) <> Pronounce ay as eɪ. For example: way, day, may (41 words)
Problem [1][15] (er=ə (her) <> Pronounce er as ə. For example: over, other, after (97 words)
Problem [1][16] (oo=uː (too) <> Pronounce oo as uː. For example: school, room, food (37 words)
Problem [1][17] (oo=ʊ (look) <> Pronounce oo as ʊ. For example: good, book, foot (17 words)
Problem [1][18] (Pronounce 'oCe' as 'əʊC'.For example: wholes, phone's, bone (61 words)
Problem [1][19] (Pronounce 'uCe' as 'juːC'.For example: contribute, schedule, schedule's (24 words)
Problem [1][20] (ea=iː (mean) <> Pronounce ea as iː. For example: leave, eat, sea (100 words)
Problem [1][21] (ea=e (head) <> Pronounce ea as e. For example: dead, health, ready (36 words)
Problem [1][22] (ou=aʊ (out) <> Pronounce ou as aʊ. For example: about, house, around (64 words)
Problem [1][23] (igh=aɪ (high) <> Pronounce igh as aɪ. For example: might, right, night (31 words)
Problem [1][24] (o=ʌ (other) <> Pronounce o as ʌ. For example: another, son, money (48 words)
Problem [1][25] (ice=ɪs (office) <> Pronounce ice as ɪs. For example: service, practice, notice (5 words)
Problem [1][26] (ai=eɪ (aid) <> Pronounce ai as eɪ. For example: aim, wait, fail (72 words)
Problem [1][27] (ow=əʊ (own) <> Pronounce ow as əʊ. For example: know, low, show (35 words)
Problem [1][28] (ow=aʊ (now) <> Pronounce ow as aʊ. For example: how, down, row (26 words)
Problem [1][29] (oa=əʊ (road) <> Pronounce oa as əʊ. For example: goal, boat, loan (19 words)
Problem [1][30] (o=əʊ (go) <> Pronounce o as əʊ. For example: so, no, old (99 words)
Problem [1][31] (Pronounce 'eCe' as 'iːC'.For example: these, theme, supreme (11 words)
Problem [1][32] (ir=ɜː (first) <> Pronounce ir as ɜː. For example: sir, girl, firm (23 words)
Problem [1][33] (ur=ɜː (turn) <> Pronounce ur as ɜː. For example: hurt, burn, occur (30 words)
Problem [1][34] (oi=ɔɪ (oil) <> Pronounce oi as ɔɪ. For example: join, soil, point (15 words)
Problem [1][35] (oy=ɔɪ (boy) <> Pronounce oy as ɔɪ. For example: toy, employee, employ (12 words)
Problem [1][36] (ie=iː (field) <> Pronounce ie as iː. For example: piece, chief, brief (11 words)
Problem [1][37] (au=ɔː (cause) <> Pronounce au as ɔː. For example: sauce, pause, launch (19 words)
Problem [1][38] (aw=ɔː (law) <> Pronounce aw as ɔː. For example: draw, lawyer, drawing (16 words)
Problem [1][39] (ore=ɔː (more) <> Pronounce ore as ɔː. For example: core, before, store (12 words)
Problem [1][40] (ew=juː (new) <> Pronounce ew as juː. For example: few, news, fewer (6 words)
Problem [1][41] (ue=uː (true) <> Pronounce ue as uː. For example: blue, issue, tissue (7 words)
Problem [1][42] (ear=ɜː (earn) <> Pronounce ear as ɜː. For example: learn, early, earth (10 words)
Problem [1][43] (y=ɪ (system) <> Pronounce y as ɪ. For example: gym, everyone, physical (30 words)
Problem [1][44] (Pronounce 'yCe' as 'aɪC'.For example: type, style's, types (3 words)
Problem [1][45] (ou=aʊ (out) <> Pronounce ou as aʊ. For example: about, house, around (64 words)
Problem [1][46] (ei=iː (receive) <> Pronounce ei as iː. For example: protein, ceiling, perceive (8 words)
Problem [1][47] (ei=eɪ (surveillance) <> Pronounce ei as eɪ. (1 words)
Problem [1][48] (Pronounce 'eigh' as 'eɪ'.For example: weights, eight's, neighborhood (6 words)
Problem [1][49] (our=ə (your) <> Pronounce our as ə. (1 words)
Problem [1][50] (ar=ə (year) <> Pronounce ar as ə. For example: sugar, solar, similar (21 words)
Problem [1][51] (ui=uː (suit) <> Pronounce ui as uː. For example: fruit, juice, lawsuit (7 words)
Problem [1][52] (ui=ɪ (build) <> Pronounce ui as ɪ. For example: building, guilty, guilt (8 words)
Problem [1][53] (ey=iː (key) <> Pronounce ey as iː. (1 words)
