3_0; 3_1; 3_2; 3_3; 3_4; 3_5; 3_6; 3_7; 3_8; 3_9; 3_10; 3_11; 3_12
1 syllable; Closed syllables; Open syllables; vc/cv; v/cv; v/v; vc/v; qu:vc/cv, qu:v/cv, qu:v/v; ture:vc/cv, ture:v/cv, ture:vc/v; 2 syllables; 3 syllables; 4 syllables; 5 or more syllables
a ( [a-ə] ); into # in-to ˈɪn.tə ( [i-ɪ] [n-n] [t-t] [o-ə] ) NULL; any # a-ny ˈe.ni ( [a-e] [n-n] [y-i] ) NULL; into # in-to ˈɪn.tə ( [i-ɪ] [n-n] [t-t] [o-ə] ) NULL; any # a-ny ˈe.ni ( [a-e] [n-n] [y-i] ) NULL; sayer # say-er ˈseɪ.ə ( [s-s] [ay-eɪ] [er-ə] ) er; even # ev-en ˈiːv.ən ( [e-iː] [v-v] [e-ə] [n-n] ) NULL; require # re-quire rɪ.ˈkwaɪ.ə ( [r-r] [e-ɪ] [q-k] [u-w] [i-aɪ] [re-ə] ) NULL; future # fu-ture ˈfjuː.tʃər ( [f-f] [u-juː] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; any # a-ny ˈe.ni ( [a-e] [n-n] [y-i] ) NULL; family # fa-mi-ly ˈfæ.mə.li ( [f-f] [a-æ] [m-m] [i-ə] [l-l] [y-i] ) NULL; economy # ec-o-no-my ɪˈk.ɒ.nə.mi ( [e-ɪ] [c-k] [o-ɒ] [n-n] [o-ə] [m-m] [y-i] ) NULL; opportunity # op-por-tu-ni-ty ˌɒ.pə.ˈtjuː.nɪ.ti ( [o-ɒ] [pp-p] [or-ə] [t-t] [u-juː] [n-n] [i-ɪ] [t-t] [y-i] ) ity
I ( [i-aɪ] ); also # al-so ˈɔːl.səʊ ( [a-ɔː] [l-l] [s-s] [o-əʊ] ) NULL; over # o-ver ˈəʊ.və ( [o-əʊ] [v-v] [er-ə] ) NULL; also # al-so ˈɔːl.səʊ ( [a-ɔː] [l-l] [s-s] [o-əʊ] ) NULL; over # o-ver ˈəʊ.və ( [o-əʊ] [v-v] [er-ə] ) NULL; going # go-ing ˈgəʊ.ɪŋ ( [g-g] [o-əʊ] [i-ɪ] [ng-ŋ] ) ing; okay # ok-ay ˌəʊˈk.eɪ ( [o-əʊ] [k-k] [ay-eɪ] ) NULL; quiet # qui-et ˈkwaɪ.ət ( [q-k] [u-w] [i-aɪ] [e-ə] [t-t] ) NULL; nature # na-ture ˈneɪ.tʃər ( [n-n] [a-eɪ] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; into # in-to ˈɪn.tə ( [i-ɪ] [n-n] [t-t] [o-ə] ) NULL; another # a-noth-er ə.ˈnʌð.ə ( [a-ə] [n-n] [o-ʌ] [th-ð] [er-ə] ) NULL; ability # a-bi-li-ty ə.ˈbɪ.lə.ti ( [a-ə] [b-b] [i-ɪ] [l-l] [i-ə] [t-t] [y-i] ) ility; organisation # or-ga-ni-za-tion ˌɔː.gə.naɪ.ˈzeɪʃ.ən ( [or-ɔː] [g-g] [a-ə] [n-n] [i-aɪ] [s-z] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
be ( [b-b] [e-i] ); very # ver-y ˈver.i ( [v-v] [e-e] [r-r] [y-i] ) NULL; about # a-bout ə.ˈbaʊt ( [a-ə] [b-b] [ou-aʊ] [t-t] ) NULL; only # on-ly ˈəʊn.li ( [o-əʊ] [n-n] [l-l] [y-i] ) NULL; about # a-bout ə.ˈbaʊt ( [a-ə] [b-b] [ou-aʊ] [t-t] ) NULL; seeing # se-eing ˈsiː.ɪŋ ( [s-s] [e-iː] [ei-ɪ] [ng-ŋ] ) ing; user # us-er ˈjuːz.ə ( [u-juː] [s-z] [er-ə] ) NULL; equal # e-qual ˈiː.kwəl ( [e-iː] [q-k] [u-w] [a-ə] [l-l] ) al; picture # pic-ture ˈpɪk.tʃər ( [p-p] [i-ɪ] [c-k] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; also # al-so ˈɔːl.səʊ ( [a-ɔː] [l-l] [s-s] [o-əʊ] ) NULL; area # a-re-a ˈeə.ri.ə ( [a-eə] [r-r] [e-i] [a-ə] ) NULL; American # a-me-ri-can ə.ˈme.rɪ.kən ( [a-ə] [m-m] [e-e] [r-r] [i-ɪ] [c-k] [a-ə] [n-n] ) NULL; particularly # par-ti-cu-lar-ly pə.ˈtɪ.kjʊ.lə.li ( [p-p] [ar-ə] [t-t] [i-ɪ] [c-k] [u-jʊ] [l-l] [ar-ə] [l-l] [y-i] ) NULL
of ( [o-ɒ] [f-v] ); many # man-y ˈmen.i ( [m-m] [a-e] [n-n] [y-i] ) NULL; woman # wo-man ˈwʊ.mən ( [w-w] [o-ʊ] [m-m] [a-ə] [n-n] ) NULL; after # af-ter ˈɑːf.tə ( [a-ɑː] [f-f] [t-t] [er-ə] ) NULL; woman # wo-man ˈwʊ.mən ( [w-w] [o-ʊ] [m-m] [a-ə] [n-n] ) NULL; trying # try-ing ˈtraɪ.ɪŋ ( [t-t] [r-r] [y-aɪ] [i-ɪ] [ng-ŋ] ) ing; power # pow-er ˈpaʊ.ə ( [p-p] [ow-aʊ] [er-ə] ) NULL; question # ques-tion ˈkwes.tʃən ( [q-k] [u-w] [e-e] [s-s] [ti-tʃ] [o-ə] [n-n] ) NULL; culture # cul-ture ˈkʌl.tʃər ( [c-k] [u-ʌ] [l-l] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; very # ver-y ˈver.i ( [v-v] [e-e] [r-r] [y-i] ) NULL; idea # i-de-a aɪ.ˈdɪ.ə ( [i-aɪ] [d-d] [e-ɪ] [a-ə] ) NULL; anything # a-ny-th-ing ˈe.ni.θ.ɪŋ ( [a-e] [n-n] [y-i] [th-θ] [i-ɪ] [ng-ŋ] ) NULL; international # int-er-nati-o-nal ˌɪnt.ə.ˈnæʃ.ə.nəl ( [i-ɪ] [n-n] [t-t] [er-ə] [n-n] [a-æ] [ti-ʃ] [o-ə] [n-n] [a-ə] [l-l] ) al
in ( [i-ɪ] [n-n] ); only # on-ly ˈəʊn.li ( [o-əʊ] [n-n] [l-l] [y-i] ) NULL; never # ne-ver ˈne.və ( [n-n] [e-e] [v-v] [er-ə] ) NULL; people # peop-le ˈpiːp.əl ( [p-p] [eo-iː] [p-p] [le-əl] ) NULL; never # ne-ver ˈne.və ( [n-n] [e-e] [v-v] [er-ə] ) NULL; needed # ne-eded ˈniː.dɪd ( [n-n] [ee-iː] [d-d] [e-ɪ] [d-d] ) ed; level # lev-el ˈlev.əl ( [l-l] [e-e] [v-v] [el-əl] ) NULL; unique # u-nique juː.ˈniːk ( [u-juː] [n-n] [i-iː] [que-k] ) NULL; structure # struc-ture ˈstrʌk.tʃər ( [s-s] [t-t] [r-r] [u-ʌ] [c-k] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; many # man-y ˈmen.i ( [m-m] [a-e] [n-n] [y-i] ) NULL; policy # po-li-cy ˈpɒ.lə.si ( [p-p] [o-ɒ] [l-l] [i-ə] [c-s] [y-i] ) NULL; actually # ac-tu-al-ly ˈæk.tʃu.ə.li ( [a-æ] [c-k] [t-tʃ] [u-u] [a-ə] [ll-l] [y-i] ) NULL; environmental # en-vi-ron-men-tal ɪn.ˌvaɪ.rən.ˈmen.təl ( [e-ɪ] [n-n] [v-v] [i-aɪ] [r-r] [o-ə] [n-n] [m-m] [e-e] [n-n] [t-t] [a-ə] [l-l] ) al
to ( [t-t] [o-uː] ); even # ev-en ˈiːv.ən ( [e-iː] [v-v] [e-ə] [n-n] ) NULL; become # be-come bɪ.ˈkʌm ( [b-b] [e-ɪ] [c-k] [o.e-ʌ] [m-m] ) NULL; really # real-ly ˈrɪə.li ( [r-r] [e-ɪ] [a-ə] [ll-l] [y-i] ) NULL; become # be-come bɪ.ˈkʌm ( [b-b] [e-ɪ] [c-k] [o.e-ʌ] [m-m] ) NULL; via # vi-a ˈvaɪ.ə ( [v-v] [i-aɪ] [a-ə] ) NULL; model # mod-el ˈmɒd.əl ( [m-m] [o-ɒ] [d-d] [el-əl] ) NULL; quarter # quar-ter ˈkwɔː.tə ( [q-k] [u-w] [ar-ɔː] [t-t] [er-ə] ) NULL; feature # fea-ture ˈfiː.tʃər ( [f-f] [ea-iː] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; only # on-ly ˈəʊn.li ( [o-əʊ] [n-n] [l-l] [y-i] ) NULL; company # com-pa-ny ˈkʌm.pə.ni ( [c-k] [o-ʌ] [m-m] [p-p] [a-ə] [n-n] [y-i] ) NULL; economic # ec-o-no-mic ˌiːk.ə.ˈnɒ.mɪk ( [e-iː] [c-k] [o-ə] [n-n] [o-ɒ] [m-m] [i-ɪ] [c-k] ) NULL; administration # ad-mi-ni-stra-tion əd.ˌmɪ.nɪ.ˈstreɪʃ.ən ( [a-ə] [d-d] [m-m] [i-ɪ] [n-n] [i-ɪ] [s-s] [t-t] [r-r] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
it ( [i-ɪ] [t-t] ); other # oth-er ˈʌð.ə ( [o-ʌ] [th-ð] [er-ə] ) NULL; because # be-cause bɪ.ˈkɒz ( [b-b] [e-ɪ] [c-k] [au-ɒ] [s-z] [e-] ) NULL; able # ab-le ˈeɪb.əl ( [a-eɪ] [b-b] [le-əl] ) NULL; because # be-cause bɪ.ˈkɒz ( [b-b] [e-ɪ] [c-k] [au-ɒ] [s-z] [e-] ) NULL; eyeing # ey-eing ˈaɪ.ɪŋ ( [ey-aɪ] [ei-ɪ] [ng-ŋ] ) ing; during # dur-ing ˈdjʊər.ɪŋ ( [d-d] [u-jʊə] [r-r] [i-ɪ] [ng-ŋ] ) NULL; quoted # quo-ted ˈkwəʊ.tɪd ( [q-k] [u-w] [o-əʊ] [t-t] [e-ɪ] [d-d] ) ed; capture # cap-ture ˈkæp.tʃər ( [c-k] [a-æ] [p-p] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; even # ev-en ˈiːv.ən ( [e-iː] [v-v] [e-ə] [n-n] ) NULL; however # how-e-ver haʊ.ˈe.və ( [h-h] [ow-aʊ] [e-e] [v-v] [er-ə] ) NULL; military # mi-li-tar-y ˈmɪ.lɪ.ter.i ( [m-m] [i-ɪ] [l-l] [i-ɪ] [t-t] [a-e] [r-r] [y-i] ) NULL; university # u-ni-ver-si-ty ˌjuː.nɪ.ˈvɜː.sɪ.ti ( [u-juː] [n-n] [i-ɪ] [v-v] [er-ɜː] [s-s] [i-ɪ] [t-t] [y-i] ) ity
he ( [h-h] [e-i] ); after # af-ter ˈɑːf.tə ( [a-ɑː] [f-f] [t-t] [er-ə] ) NULL; between # be-tween bɪ.ˈtwiːn ( [b-b] [e-ɪ] [t-t] [w-w] [ee-iː] [n-n] ) NULL; onto # on-to ˈɒn.tu ( [o-ɒ] [n-n] [t-t] [o-u] ) NULL; student # stu-dent ˈstjuː.dənt ( [s-s] [t-t] [u-juː] [d-d] [e-ə] [n-n] [t-t] ) NULL; create # cre-ate kriː.ˈeɪt ( [c-k] [r-r] [e-iː] [a.e-eɪ] [t-t] ) NULL; second # sec-ond ˈsek.ənd ( [s-s] [e-e] [c-k] [o-ə] [n-n] [d-d] ) NULL; request # re-quest rɪ.ˈkwest ( [r-r] [e-ɪ] [q-k] [u-w] [e-e] [s-s] [t-t] ) NULL; mixture # mix-ture ˈmɪks.tʃər ( [m-m] [i-ɪ] [x-ks] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; over # o-ver ˈəʊ.və ( [o-əʊ] [v-v] [er-ə] ) NULL; already # al-rea-dy ɔːl.ˈre.di ( [a-ɔː] [l-l] [r-r] [ea-e] [d-d] [y-i] ) NULL; activity # ac-ti-vi-ty æk.ˈtɪ.və.ti ( [a-æ] [c-k] [t-t] [i-ɪ] [v-v] [i-ə] [t-t] [y-i] ) ity; possibility # pos-si-bi-li-ty ˌpɒ.sɪ.ˈbɪ.lɪ.ti ( [p-p] [o-ɒ] [ss-s] [i-ɪ] [b-b] [i-ɪ] [l-l] [i-ɪ] [t-t] [y-i] ) ility
do ( [d-d] [o-uː] ); people # peop-le ˈpiːp.əl ( [p-p] [eo-iː] [p-p] [le-əl] ) NULL; student # stu-dent ˈstjuː.dənt ( [s-s] [t-t] [u-juː] [d-d] [e-ə] [n-n] [t-t] ) NULL; army # ar-my ˈɑː.mi ( [ar-ɑː] [m-m] [y-i] ) NULL; ago # a-go ə.ˈgəʊ ( [a-ə] [g-g] [o-əʊ] ) NULL; footed # fo-oted ˈfʊ.tɪd ( [f-f] [oo-ʊ] [t-t] [e-ɪ] [d-d] ) ed; season # seas-on ˈsiːz.ən ( [s-s] [ea-iː] [s-z] [o-ə] [n-n] ) NULL; quitting # quit-ting ˈkwɪt.ɪŋ ( [q-k] [u-w] [i-ɪ] [tt-t] [i-ɪ] [ng-ŋ] ) ing; creature # creat-ure ˈkriːtʃ.ər ( [c-k] [r-r] [ea-iː] [t-tʃ] [u-ə] [r-r] [e-] ) NULL; about # a-bout ə.ˈbaʊt ( [a-ə] [b-b] [ou-aʊ] [t-t] ) NULL; history # his-to-ry ˈhɪs.tə.ri ( [h-h] [i-ɪ] [s-s] [t-t] [o-ə] [r-r] [y-i] ) tory; material # ma-ter-i-al mə.ˈtɪər.ɪ.əl ( [m-m] [a-ə] [t-t] [er-ɪər] [i-ɪ] [a-ə] [l-l] ) al; educational # e-duc-a-tion-al ˌe.dʒʊˈk.eɪʃ.ən.əl ( [e-e] [d-dʒ] [u-ʊ] [c-k] [a-eɪ] [ti-ʃ] [o-ə] [n-n] [a-ə] [l-l] ) al
