6_0; 6_1; 6_2; 6_3; 6_4; 6_5; 6_6; 6_7; 6_8; 6_9; 6_10; 6_11; 6_12; 6_13; 6_14
n/h; a/o; r/t; m/n; m/h; b/d; l/r; b/g; d/g; t/f; r/f; b/q; d/q; q/g; k/x
on ( [o-ɒ] [n-n] ); on ( [o-ɒ] [n-n] ); not ( [n-n] [o-ɒ] [t-t] ); them ( [th-ð] [e-ə] [m-m] ); he ( [h-h] [e-i] ); day ( [d-d] [ay-eɪ] ); law ( [l-l] [aw-ɔː] ); but ( [b-b] [u-ʌ] [t-t] ); do ( [d-d] [o-uː] ); it ( [i-ɪ] [t-t] ); of ( [o-ɒ] [f-v] );  ;  ; guest ( [g-g] [ue-e] [s-s] [t-t] ); takes ( [t-t] [a.e-eɪ] [k-k] [s-s] )
not ( [n-n] [o-ɒ] [t-t] ); for ( [f-f] [or-ɔː] ); out ( [ou-aʊ] [t-t] ); then ( [th-ð] [e-e] [n-n] ); me ( [m-m] [e-iː] ); big ( [b-b] [i-ɪ] [g-g] ); low ( [l-l] [o-əʊ] [w-] ); get ( [g-g] [e-e] [t-t] ); go ( [g-g] [o-əʊ] ); if ( [i-ɪ] [f-f] ); or ( [or-ɔː] );  ;  ; quest ( [q-k] [u-w] [e-e] [s-s] [t-t] ); taxes # tax-es ˈtæk.sɪz ( [t-t] [a-æ] [x-ks] [e-ɪ] [s-z] ) es
now ( [n-n] [ow-aʊ] ); some ( [s-s] [o.e-ʌ] [m-m] ); our ( [ou-aʊə] [r-] ); sun ( [s-s] [u-ʌ] [n-n] ); may ( [m-m] [ay-eɪ] ); bad ( [b-b] [a-æ] [d-d] ); lip ( [l-l] [i-ɪ] [p-p] ); guy ( [g-g] [uy-aɪ] ); day ( [d-d] [ay-eɪ] ); its ( [i-ɪ] [t-t] [s-s] ); run ( [r-r] [u-ʌ] [n-n] );  ;  ;  ;  
how ( [h-h] [ow-aʊ] ); down ( [d-d] [ow-aʊ] [n-n] ); state ( [s-s] [t-t] [a.e-eɪ] [t-t] ); seem ( [s-s] [ee-iː] [m-m] ); here ( [h-h] [e-ɪ] [re-ə] ); dad ( [d-d] [a-æ] [d-d] ); row ( [r-r] [ow-aʊ] ); buy ( [b-b] [uy-aɪ] ); big ( [b-b] [i-ɪ] [g-g] ); four ( [f-f] [our-ɔː] ); fat ( [f-f] [a-æ] [t-t] );  ;  ;  ;  
oh ( [oh-əʊ] ); last ( [l-l] [a-ɑː] [s-s] [t-t] ); far ( [f-f] [ar-ɑː] ); nine ( [n-n] [i.e-aɪ] [n-n] ); most ( [m-m] [o-əʊ] [s-s] [t-t] ); dig ( [d-d] [i-ɪ] [g-g] ); hear ( [h-h] [ear-ɪə] ); gay ( [g-g] [ay-eɪ] ); hand ( [h-h] [a-æ] [n-n] [d-d] ); fall ( [f-f] [a-ɔː] [ll-l] ); fun ( [f-f] [u-ʌ] [n-n] );  ;  ;  ;  
hot ( [h-h] [o-ɒ] [t-t] ); same ( [s-s] [a.e-eɪ] [m-m] ); sit ( [s-s] [i-ɪ] [t-t] ); warm ( [w-w] [ar-ɔː] [m-m] ); hisses # his-ses ˈhɪ.sɪz ( [h-h] [i-ɪ] [ss-s] [e-ɪ] [s-z] ) es; both ( [b-b] [o-əʊ] [th-θ] ); play ( [p-p] [l-l] [ay-eɪ] ); bet ( [b-b] [e-e] [t-t] ); bad ( [b-b] [a-æ] [d-d] ); free ( [f-f] [r-r] [ee-iː] ); face ( [f-f] [a-eɪ] [ce-s] );  ;  ;  ;  
show ( [sh-ʃ] [o-əʊ] [w-] ); oh ( [oh-əʊ] ); car ( [c-k] [ar-ɑː] ); meat ( [m-m] [ea-iː] [t-t] ); heat ( [h-h] [ea-iː] [t-t] ); bone ( [b-b] [o.e-əʊ] [n-n] ); lose ( [l-l] [o.e-uː] [s-z] ); boat ( [b-b] [oa-əʊ] [t-t] ); bed ( [b-b] [e-e] [d-d] ); tree ( [t-t] [r-r] [ee-iː] ); foot ( [f-f] [oo-ʊ] [t-t] );  ;  ;  ;  
hear ( [h-h] [ear-ɪə] ); far ( [f-f] [ar-ɑː] ); eat ( [ea-iː] [t-t] ); warn ( [w-w] [ar-ɔː] [n-n] ); hate ( [h-h] [a.e-eɪ] [t-t] ); bear ( [b-b] [ear-eə] ); real ( [r-r] [e-ɪ] [a-ə] [l-l] ); gold ( [g-g] [o-əʊ] [l-l] [d-d] ); bag ( [b-b] [a-æ] [g-g] ); fire # fi-re ˈfaɪ.ə ( [f-f] [i-aɪ] [re-ə] ) NULL; rate ( [r-r] [a.e-eɪ] [t-t] );  ;  ;  ;  
near ( [n-n] [ear-ɪə] ); law ( [l-l] [aw-ɔː] ); per ( [p-p] [er-ɜː] ); might ( [m-m] [igh-aɪ] [t-t] ); meal ( [m-m] [ea-iː] [l-l] ); beer ( [b-b] [eer-ɪə] ); lead ( [l-l] [ea-iː] [d-d] ); bone ( [b-b] [o.e-əʊ] [n-n] ); gay ( [g-g] [ay-eɪ] ); fill ( [f-f] [i-ɪ] [ll-l] ); wife ( [w-w] [i.e-aɪ] [f-f] );  ;  ;  ;  
sign ( [s-s] [i-aɪ] [gn-n] ); add ( [a-æ] [dd-d] ); bar ( [b-b] [ar-ɑː] ); night ( [n-n] [igh-aɪ] [t-t] ); meat ( [m-m] [ea-iː] [t-t] ); buck ( [b-b] [u-ʌ] [ck-k] ); read ( [r-r] [ea-iː] [d-d] ); bear ( [b-b] [ear-eə] ); kind ( [k-k] [i-aɪ] [n-n] [d-d] ); fail ( [f-f] [ai-eɪ] [l-l] ); race ( [r-r] [a-eɪ] [ce-s] );  ;  ;  ;  
heat ( [h-h] [ea-iː] [t-t] ); low ( [l-l] [o-əʊ] [w-] ); nor ( [n-n] [or-ɔː] ); mine ( [m-m] [i.e-aɪ] [n-n] ); hall ( [h-h] [a-ɔː] [ll-l] ); brain ( [b-b] [r-r] [ai-eɪ] [n-n] ); rate ( [r-r] [a.e-eɪ] [t-t] ); gear ( [g-g] [ear-ɪə] ); hang ( [h-h] [a-æ] [ng-ŋ] ); fear ( [f-f] [ear-ɪə] ); fail ( [f-f] [ai-eɪ] [l-l] );  ;  ;  ;  
snow ( [s-s] [n-n] [o-əʊ] [w-] ); boy ( [b-b] [oy-ɔɪ] ); ear ( [ear-ɪə] ); bean ( [b-b] [ea-iː] [n-n] ); host ( [h-h] [o-əʊ] [s-s] [t-t] ); brown ( [b-b] [r-r] [ow-aʊ] [n-n] ); late ( [l-l] [a.e-eɪ] [t-t] ); bases # ba-ses ˈbeɪ.siːz ( [b-b] [a-eɪ] [s-s] [e-iː] [s-z] ) s; wind ( [w-w] [i-ɪ] [n-n] [d-d] ); tool ( [t-t] [oo-uː] [l-l] ); sort ( [s-s] [or-ɔː] [t-t] );  ;  ;  ;  
shake ( [sh-ʃ] [a.e-eɪ] [k-k] ); top ( [t-t] [o-ɒ] [p-p] ); fat ( [f-f] [a-æ] [t-t] ); moon ( [m-m] [oo-uː] [n-n] ); small ( [s-s] [m-m] [a-ɔː] [ll-l] ); rid ( [r-r] [i-ɪ] [d-d] ); free ( [f-f] [r-r] [ee-iː] ); gases # ga-ses ˈgæ.sɪz ( [g-g] [a-æ] [s-s] [e-ɪ] [s-z] ) es; date ( [d-d] [a.e-eɪ] [t-t] ); tour ( [t-t] [o-ʊ] [ur-ə] ); fear ( [f-f] [ear-ɪə] );  ;  ;  ;  
hearing # hear-ing ˈhɪər.ɪŋ ( [h-h] [ear-ɪər] [i-ɪ] [ng-ŋ] ) NULL; hot ( [h-h] [o-ɒ] [t-t] ); cat ( [c-k] [a-æ] [t-t] ); mail ( [m-m] [ai-eɪ] [l-l] ); money # mo-ney ˈmʌ.ni ( [m-m] [o-ʌ] [n-n] [ey-i] ) NULL; bay ( [b-b] [ay-eɪ] ); road ( [r-r] [oa-əʊ] [d-d] ); brain ( [b-b] [r-r] [ai-eɪ] [n-n] ); wing # w-ing wɪŋ ( [w-w] [i-ɪ] [ng-ŋ] ) NULL; tall ( [t-t] [a-ɔː] [ll-l] ); soft ( [s-s] [o-ɒ] [f-f] [t-t] );  ;  ;  ;  
